[Wed Feb 24 11:05:20.430094 2016] [:error] [pid 21317] [client 172.16.0.1:48428] PHP Fatal error:  Class 'app\\controllers\\Controller' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/PagesController.php on line 6
[Wed Feb 24 11:06:26.927716 2016] [:error] [pid 21317] [client 172.16.0.1:26874] PHP Parse error:  syntax error, unexpected '?>', expecting function (T_FUNCTION) in /var/www-public/testyii.54mbit.pp.ua/controllers/PagesController.php on line 13
[Wed Feb 24 11:06:38.460642 2016] [:error] [pid 18959] [client 172.16.0.1:14091] PHP Parse error:  syntax error, unexpected end of file, expecting function (T_FUNCTION) in /var/www-public/testyii.54mbit.pp.ua/controllers/PagesController.php on line 13
[Wed Feb 24 11:07:31.449170 2016] [:error] [pid 22362] [client 172.16.0.1:9948] PHP Fatal error:  Class 'app\\controllers\\Pages' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/PagesController.php on line 10
[Wed Feb 24 11:08:32.582003 2016] [:error] [pid 18946] [client 172.16.0.1:61653] PHP Fatal error:  Class 'yii\\models\\Pages' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/PagesController.php on line 11
[Wed Feb 24 11:15:27.177118 2016] [:error] [pid 18959] [client 172.16.0.1:43573] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting function (T_FUNCTION) in /var/www-public/testyii.54mbit.pp.ua/controllers/PagesController.php on line 16
[Wed Feb 24 11:15:58.645654 2016] [:error] [pid 12555] [client 172.16.0.1:26936] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting function (T_FUNCTION) in /var/www-public/testyii.54mbit.pp.ua/controllers/PagesController.php on line 16
[Wed Feb 24 11:20:16.797485 2016] [:error] [pid 21317] [client 172.16.0.1:12030] PHP Parse error:  syntax error, unexpected ')', expecting '}' in /var/www-public/testyii.54mbit.pp.ua/views/pages/index.php on line 5
[Wed Feb 24 11:42:38.760574 2016] [:error] [pid 3920] [client 172.16.0.1:26573] PHP Fatal error:  Call to a member function one() on array in /var/www-public/testyii.54mbit.pp.ua/controllers/PagesController.php on line 13, referer: http://testyii.54mbit.pp.ua/index.php?r=pages%2Findex
[Wed Feb 24 11:43:24.995050 2016] [:error] [pid 18500] [client 172.16.0.1:50177] PHP Fatal error:  Call to a member function all() on array in /var/www-public/testyii.54mbit.pp.ua/controllers/PagesController.php on line 13, referer: http://testyii.54mbit.pp.ua/index.php?r=pages%2Findex
[Wed Feb 24 12:32:08.833917 2016] [:error] [pid 21031] [client 172.16.0.1:11905] PHP Fatal error:  Call to undefined function getparamrules() in /var/www-public/testyii.54mbit.pp.ua/views/pages/index.php on line 7, referer: http://testyii.54mbit.pp.ua/index.php?r=pages%2Findex
[Wed Feb 24 12:32:59.832249 2016] [:error] [pid 14641] [client 172.16.0.1:3650] PHP Fatal error:  Call to undefined function getparamrules() in /var/www-public/testyii.54mbit.pp.ua/views/pages/index.php on line 8, referer: http://testyii.54mbit.pp.ua/index.php?r=pages%2Findex
[Wed Feb 24 12:44:03.194084 2016] [:error] [pid 411] [client 172.16.0.1:15198] PHP Parse error:  syntax error, unexpected '->' (T_OBJECT_OPERATOR), expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in /var/www-public/testyii.54mbit.pp.ua/controllers/PagesController.php on line 13, referer: http://testyii.54mbit.pp.ua/index.php?r=pages%2Findex
[Wed Feb 24 12:45:30.204214 2016] [:error] [pid 24390] [client 172.16.0.1:41402] PHP Fatal error:  Call to a member function all() on null in /var/www-public/testyii.54mbit.pp.ua/controllers/PagesController.php on line 13, referer: http://testyii.54mbit.pp.ua/index.php?r=pages%2Findex
[Wed Feb 24 13:28:13.696166 2016] [:error] [pid 26407] [client 172.16.0.1:32662] PHP Parse error:  syntax error, unexpected '?>\r', expecting '(' in /var/www-public/testyii.54mbit.pp.ua/views/pages/index.php on line 9, referer: http://testyii.54mbit.pp.ua/pages/index?id=about
[Wed Feb 24 13:54:07.129294 2016] [:error] [pid 20313] [client 172.16.0.1:31761] PHP Fatal error:  Class 'app\\controllers\\Yii' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/PagesController.php on line 14, referer: http://testyii.54mbit.pp.ua/pages/index
[Wed Feb 24 13:55:19.378044 2016] [:error] [pid 20362] [client 172.16.0.1:28360] PHP Fatal error:  Class 'app\\controllers\\Yii' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/PagesController.php on line 15, referer: http://testyii.54mbit.pp.ua/pages/index
[Wed Feb 24 15:42:16.995334 2016] [:error] [pid 7115] [client 185.23.165.125:59048] PHP Fatal error:  Class 'app\\models\\ContactForm' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 79, referer: http://testyii.54mbit.pp.ua/site/register
[Wed Feb 24 15:47:36.310066 2016] [:error] [pid 10609] [client 172.16.0.1:38836] PHP Fatal error:  Class 'app\\controllers\\RegisterForm' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 97, referer: http://testyii.54mbit.pp.ua/site/register
[Wed Feb 24 15:48:47.741795 2016] [:error] [pid 10626] [client 172.16.0.1:38128] PHP Fatal error:  Class 'app\\controllers\\RegisterForm' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 97, referer: http://testyii.54mbit.pp.ua/site/register
[Wed Feb 24 15:49:58.537392 2016] [:error] [pid 7031] [client 172.16.0.1:15043] PHP Fatal error:  Class 'app\\controllers\\RegisterForm' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 97, referer: http://testyii.54mbit.pp.ua/site/register
[Wed Feb 24 15:51:26.314151 2016] [:error] [pid 5529] [client 172.16.0.1:22376] PHP Fatal error:  Class 'app\\controllers\\RegisterForm' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 97, referer: http://testyii.54mbit.pp.ua/site/register
[Wed Feb 24 15:51:57.740583 2016] [:error] [pid 5529] [client 172.16.0.1:61639] PHP Fatal error:  Class 'app\\controllers\\RegisterForm' not found in /var/www-public/testyii.54mbit.pp.ua/controllers/SiteController.php on line 97, referer: http://testyii.54mbit.pp.ua/site/register
[Wed Feb 24 15:58:17.548849 2016] [:error] [pid 10625] [client 172.16.0.1:32269] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO), expecting function (T_FUNCTION) in /var/www-public/testyii.54mbit.pp.ua/models/RegisterForm.php on line 10, referer: http://testyii.54mbit.pp.ua/pages/index
[Wed Feb 24 16:18:57.263218 2016] [:error] [pid 25380] [client 172.16.0.1:46823] PHP Fatal error:  Cannot use yii\\widgets\\ActiveForm as ActiveForm because the name is already in use in /var/www-public/testyii.54mbit.pp.ua/views/site/register.php on line 9, referer: http://testyii.54mbit.pp.ua/site/register
